pid,responses,rt,time_elapsed,applicable,lesson,other lessons
61,"{""Q0"":""I JUST CLICKED THE POSITIVE RESULTS"",""Q1"":""THE ones that were negative"",""Q2"":""when i seen the positive 48"",""Q3"":""the positive result"",""Q4"":""nope""}",83427,966376,,,
61,"{""Q0"":""it seemed like a maze"",""Q1"":""no"",""Q2"":""33"",""Q3"":""""}",20288,987731,0,8,
62,"{""Q0"":""Where the green positive money is the 48"",""Q1"":""where it was a negative and red"",""Q2"":""when I got to the last positive number and the arrows are pointing the opposite because I can only travel in the way of the arrow"",""Q3"":""the highlighted corners"",""Q4"":""going in the way of the green nodes where it lead to the highest pay""}",127969,1130662,,,
62,"{""Q0"":""To follow direction firstly. "",""Q1"":""I kept forgetting to click on the highlighted areas at first"",""Q2"":""50"",""Q3"":""I feel silly it took me a little bit to follow along but now I see it was as simple as pie.""}",73372,1205046,0,6,
63,"{""Q0"":""I just started on the left and went from there"",""Q1"":""I didn't really, just kept starting with the lower left node"",""Q2"":""When i found a green 24 or 48"",""Q3"":""The lower left node"",""Q4"":""stopped clicking once i got a green 24 or 48 and chose that path""}",50339,784149,,,
63,"{""Q0"":""strategy"",""Q1"":""no"",""Q2"":""35"",""Q3"":""""}",14025,799191,1,5,
64,"{""Q0"":""I pretty much did it at random, but if in the last game, 48 was at one particular point, I usually tried a different point."",""Q1"":""See above."",""Q2"":""When I found 48."",""Q3"":""It varied."",""Q4"":""That's about it.""}",75007,915211,,,
64,"{""Q0"":""I learned to click on the nodes to find out where the 48 was. It was worth spending money on doing that because I still ended up making money."",""Q1"":""It took me a little while to understand what to do."",""Q2"":""55"",""Q3"":""it was fun.""}",82974,999208,0,1,8
65,"{""Q0"":""I clicked all of the end nodes, since those were the highest dollar amount. "",""Q1"":""Mostly, I didn't click the step 1 and 2, because the dollar amounts were low. "",""Q2"":""When I found the highest dollar amount, I usually stopped clicking and went that route. "",""Q3"":""All 6 end nodes. "",""Q4"":""I mostly just focused on the end nodes. ""}",141052,956004,,,
65,"{""Q0"":""I'm mostly focused on the end result. "",""Q1"":""no"",""Q2"":""39"",""Q3"":""""}",83345,1040355,1,1,
66,"{""Q0"":""I clicked on the last steps first to see which were worthwhile"",""Q1"":""When I already clicked other steps nearby I was less likely to click first steps in those corners"",""Q2"":""Once I had enough information about each last step"",""Q3"":""the last step in any given corner"",""Q4"":""I tried to refrain from clicking to see values excessively ""}",130688,1422495,,,
66,"{""Q0"":""How o navigate the spider web in close to as little clicks as possible"",""Q1"":""no"",""Q2"":""22"",""Q3"":""fun""}",46176,1469675,0,1,8
67,"{""Q0"":""The corners to see the end goal."",""Q1"":""The first and second steps had low values."",""Q2"":""When I found the highest I could earn."",""Q3"":""Yes I was."",""Q4"":""Nothing else ""}",74688,605907,,,
67,"{""Q0"":""Look at the options that are most beneficial to you."",""Q1"":""None"",""Q2"":""22"",""Q3"":""None""}",59705,666626,1,6,
68,"{""Q0"":""yes "",""Q1"":""yes"",""Q2"":""yes"",""Q3"":""right"",""Q4"":""good ""}",45778,1537417,,,
68,"{""Q0"":""its just a game "",""Q1"":""yes"",""Q2"":""76"",""Q3"":""nice""}",40737,1579161,-999,0,
69,"{""Q0"":""I tried to figure out where the highest value was."",""Q1"":""I couldn't figure it out."",""Q2"":""I usually just tried once and had an idea what other values would be."",""Q3"":""Left or top."",""Q4"":""I tried figuring out the pattern, but could not see it.""}",51776,786366,,,
69,"{""Q0"":""I'm not sure I learned very much.  I couldn't figure out what the values would be."",""Q1"":""The values after clicking didn't seem to have an obvious pattern to me.  I couldn't reproduce results."",""Q2"":""38"",""Q3"":""Thanks!""}",45936,833310,-999,0,
70,"{""Q0"":""I followed a pattern."",""Q1"":""I tried to go with my feelings."",""Q2"":""When I was losing too much money."",""Q3"":""The top right."",""Q4"":""No.""}",38786,862459,,,
70,"{""Q0"":""I need to go with my feelings."",""Q1"":""No."",""Q2"":""37"",""Q3"":""No.""}",31440,894920,1,6,
71,"{""Q0"":""Corners first"",""Q1"":""Not inside nodes first"",""Q2"":""Felt good of the amount I could earn."",""Q3"":""Corners left"",""Q4"":""Just making sure I earned positive""}",60888,680704,,,
71,"{""Q0"":""Nothing"",""Q1"":""nop"",""Q2"":""29"",""Q3"":""""}",44238,725949,-999,0,
72,"{""Q0"":""CENTER"",""Q1"":""LEFT SIDE"",""Q2"":""TOP"",""Q3"":""RIDE SIDE"",""Q4"":""NO""}",103028,1128093,,,
72,"{""Q0"":""CALCULATING"",""Q1"":""NO"",""Q2"":""55"",""Q3"":""GOOD ""}",58125,1187234,1,5,
73,"{""Q0"":""To differentiate between the \""traveling\"" costs to get to the desired end node."",""Q1"":""On nodes that didn't lead to the desire end node."",""Q2"":""When I found a path I wanted to take."",""Q3"":""The end nodes"",""Q4"":""At the end, my strategy evolved to stop clicking once I discovered a non-negative path.  If I could do it over, I'd have made more money""}",307710,1143611,,,
73,"{""Q0"":""Spend more time finding developing a strategy.  Observe the conditions of the constrained \""reality\"" of the game."",""Q1"":""No, kids would enjoy it."",""Q2"":""55"",""Q3"":""Good experiment!""}",190169,1334797,1,5,
74,"{""Q0"":""I clicked to find the $48 at the very end of the paths, then if there were multiple $48 I clicked to find which path would be less costly to walk through"",""Q1"":""I didn't click the middle paths if there wasn't a $48 at the end"",""Q2"":""When I felt I had enough information to continue. "",""Q3"":""The last node of every path."",""Q4"":""I clicked the very last nodes. I clicked to find at least one $48 in each pair (if I found a $48 I didn't click the other one, since even if it were another $48 I wouldn't incur costs to get to it anyways). ""}",184389,796415,,,
74,"{""Q0"":""I learned it was cheaper to unclick the nodes than to guess where might be most rewarding to go."",""Q1"":""Nope."",""Q2"":""23"",""Q3"":""That was a lot of fun!""}",67824,865248,0,7,
75,"{""Q0"":""started with the biggest paying nodes to try and find the biggest payout"",""Q1"":""the earlier stages didn't matter so I would often not click them just the end stages"",""Q2"":""when I found a green 48 or revealed all the final places"",""Q3"":""one of the ends, usually the upper right one"",""Q4"":""I tried to maximize my final payout and minimize my clicks to reveal""}",121921,695201,,,
75,"{""Q0"":""I feel like I learned about my decision making"",""Q1"":""No, the premise was simple enough"",""Q2"":""27"",""Q3"":""""}",54732,750946,1,6,
76,"{""Q0"":""I wanted to see the best direction to start and the highest end result."",""Q1"":""Once I picked a direction, I didn't need to see the middle."",""Q2"":""Once I found the highest payout."",""Q3"":""The top bubble closest to the spider."",""Q4"":""not really.""}",160520,764422,,,
76,"{""Q0"":""fewer clicks yield higher rewards."",""Q1"":""no"",""Q2"":""32"",""Q3"":""no""}",37257,802686,0,7,
77,"{""Q0"":""clicked on the ends because thats where it eded, long term outcome"",""Q1"":""didn't need to click on anything but the end ones, useless"",""Q2"":""when I found a green"",""Q3"":""randomly on an end"",""Q4"":""got it coverd""}",117128,816576,,,
77,"{""Q0"":""validated my usual choice to look at the long term outcome"",""Q1"":""no"",""Q2"":""36"",""Q3"":""""}",70252,887843,1,1,
78,"{""Q0"":""Based on the dollar amounts around it"",""Q1"":""Where there was negative money around it"",""Q2"":""When I found a positive path"",""Q3"":""Random"",""Q4"":""No""}",89394,746144,,,
78,"{""Q0"":""Nothing"",""Q1"":""No"",""Q2"":""30"",""Q3"":""""}",23474,770663,-999,0,
79,"{""Q0"":""I clicked the end points until I found the positive 48, or 24 if the 48 wasn't found. "",""Q1"":""I didn't need to click the inside ones because they were much lower value."",""Q2"":""Once I found a positive 48, there was no need to continue. I only clicked all end points if the +48 wasn't found. "",""Q3"":""Bottom left and work my way around. "",""Q4"":""Not really.""}",95071,599391,,,
79,"{""Q0"":""Don't keep going after you've found the max payout."",""Q1"":""No"",""Q2"":""39"",""Q3"":""no""}",49567,649978,0,2,
80,"{""Q0"":""the blue corners of the game."",""Q1"":""just guessing honestly."",""Q2"":""after you click and see a negative value."",""Q3"":""at the top of the chart."",""Q4"":""not really. was mostly luck.""}",180782,948991,,,
80,"{""Q0"":""how to make optimal move choices."",""Q1"":""not really."",""Q2"":""25"",""Q3"":""""}",22590,972588,1,8,
81,"{""Q0"":""Just picked randomly"",""Q1"":""Just picked randomly"",""Q2"":""Once I found the $48"",""Q3"":""Chose randomly"",""Q4"":""""}",42401,672549,,,
81,"{""Q0"":"""",""Q1"":""I didnt understand at the beginning that  I should have been clicking the nodes on the ends. "",""Q2"":""32"",""Q3"":""""}",30764,704321,-999,0,
82,"{""Q0"":""I clicked on the final steps because it was where the largest rewards were located."",""Q1"":""I didn't click on the earlier steps because they rewards were small enough not to make a big difference either way."",""Q2"":""I quit clicking as soon as I found the positive $48 value."",""Q3"":""I was most likely to click at the far left of the screen."",""Q4"":""Mainly I was looking for the $48 value.""}",60117,617885,,,
82,"{""Q0"":""I learned how to prioritize higher values."",""Q1"":""No."",""Q2"":""35"",""Q3"":""n/a""}",18959,637857,0,6,
83,"{""Q0"":""Started to get the hang of it.  First box then end boxes.  Trying to find higher end points"",""Q1"":""If the lane started out neg I went toward positive direction"",""Q2"":""Starts out negative, I moved onto positive direction"",""Q3"":""All 3 starting points"",""Q4"":""Didnt start getting the hang of it till the end, Id be good at it if I redid it now.""}",95377,558101,,,
83,"{""Q0"":""Read the instructions slower"",""Q1"":""Yeah the clicks, Can only click before I move.  I didnt catch that till halfway through the test."",""Q2"":""38"",""Q3"":""Fun one!""}",37847,596954,1,6,
84,"{""Q0"":""I clicked on every last step to see which one is the highest"",""Q1"":""I stopped when I saw 48"",""Q2"":""When I saw 48"",""Q3"":""Upper right"",""Q4"":""No, it was really just me guessing""}",65366,657469,,,
84,"{""Q0"":""That I need to come up with a better strategy next time."",""Q1"":""No"",""Q2"":""31"",""Q3"":""No""}",28931,687414,1,5,
85,"{""Q0"":""Just randomly"",""Q1"":""scouted out the area"",""Q2"":""when I saw a good payoff"",""Q3"":""corners"",""Q4"":""I clicked until i saw a good payout""}",130571,639548,,,
85,"{""Q0"":""to analyze all situations"",""Q1"":""no"",""Q2"":""22"",""Q3"":""great study""}",777414,1417972,1,3,
86,"{""Q0"":""I clicked on the last ones to see where to end up"",""Q1"":""negative numbers "",""Q2"":""when I found a positive"",""Q3"":""the end"",""Q4"":""just went for the most positive numbers.""}",65138,796387,,,
86,"{""Q0"":""that you have to get through the negative to get to the positive"",""Q1"":""no"",""Q2"":""42"",""Q3"":""have a great day""}",38487,835885,1,7,
87,"{""Q0"":""I went for the largest overall payoffs"",""Q1"":""by looking beforehand"",""Q2"":""when it was a losing proposition"",""Q3"":""toward wherever the largest payoff ended up"",""Q4"":""I always chose to look""}",55364,667694,,,
87,"{""Q0"":""to look ahead"",""Q1"":""no"",""Q2"":""50"",""Q3"":""none""}",17235,685932,1,1,
88,"{""Q0"":""random"",""Q1"":""random"",""Q2"":""i went for it all"",""Q3"":""up"",""Q4"":""to see if the positive were moving in around the board clockwise or counterclock wise.. pro tip.. it didnt.""}",51959,459002,,,
88,"{""Q0"":""that i'm not very good at this game"",""Q1"":""not really"",""Q2"":""37"",""Q3"":""was fun none the less""}",24235,484248,0,8,
89,"{""Q0"":""At first I decided to reveal the first step to decide, then the second step, then the third."",""Q1"":""By revealing the last step."",""Q2"":""I changed my strategy towards the end by only revealing the last step."",""Q3"":""The first step."",""Q4"":""Towards the end I realized that revealing the last step was the most profitable.""}",153569,923777,,,
89,"{""Q0"":""That you have to lose a little to get a lot."",""Q1"":""No."",""Q2"":""32"",""Q3"":""I would like to try this again, but use a different strategy to find out if the results would be better.""}",64631,989435,1,7,
90,"{""Q0"":""based on what path I chose "",""Q1"":""negative amounts"",""Q2"":""got to the green amounts"",""Q3"":""the end caps"",""Q4"":""click the end caps only ""}",64509,699470,,,
90,"{""Q0"":""hit the ends caps"",""Q1"":""no"",""Q2"":""46"",""Q3"":""""}",23549,724041,0,8,
91,"{""Q0"":""i only clicked the outside nodes because that's where i had to move"",""Q1"":""I didn't click the inside nodes because I have to go on them anyway"",""Q2"":""when I found a 48 reward"",""Q3"":""top left node"",""Q4"":""just guesswork mostly""}",92220,675698,,,
91,"{""Q0"":""Keep clicking until I find 48 then go there. sometimes there was no 48"",""Q1"":""no"",""Q2"":""28"",""Q3"":""fun game""}",71339,748054,0,1,8
92,"{""Q0"":""I would start clicking at the farthest end of each web of nodes because those are where the high numbers were located and I avoided clicking around negative high number."",""Q1"":""I decided not click nodes just prior to a negative number at the end of the web because the negative number at the end was unlikely to make up for the numbers prior to it."",""Q2"":""If I hit a chain of two positive numbers in a row along a given web, I stopped clicking and went for it."",""Q3"":""The nodes most far out in the web are where I started each time."",""Q4"":""I would randomly decide which of the web-end nodes to click first, but basically always revealed them all. Most of the time I tried deductive reasoning to decide where to go and would spend several dollars revealing nodes, but sometimes I would just take a risk and try to save my dollars.""}",212385,832449,,,
92,"{""Q0"":""Sometimes you are surprised by negative numbers along the way, and sometimes you lost more money by revealing too many nodes for a cost, even though you chose the most lucrative path."",""Q1"":""Once I got the hang of it, no. "",""Q2"":""24"",""Q3"":""I kind of enjoyed this little game! It's good for waking up the brain a bit.""}",80644,914112,0,7,8
93,"{""Q0"":""I checked from the first node"",""Q1"":""I mostly peeked and then followed the path to the highest number"",""Q2"":""I clicked to find out the first move and then if i found +48 as a last node, I followed that path"",""Q3"":""Left"",""Q4"":""I tried to minimize how much I peeked to save the dollar, but the investment was worth it to look.""}",118992,1049473,,,
93,"{""Q0"":""Investing a little paid off"",""Q1"":""No"",""Q2"":""33"",""Q3"":""Fun""}",21463,1072013,1,4,7
94,"{""Q0"":""I started on the outer most level of dots since they had the highest value."",""Q1"":""The closer the dot was to start, the lower the number."",""Q2"":""Once I found the highest number, I stopped clicking."",""Q3"":""On the dot I ended on last."",""Q4"":""""}",98714,714266,,,
94,"{""Q0"":""How to eliminate quickly and efficiently."",""Q1"":""No"",""Q2"":""33"",""Q3"":""""}",29152,744436,1,6,
95,"{""Q0"":""I began finding the highest value end point, then moving in that direction no matter what the mid-node value was. "",""Q1"":""I stopped clicking on the mid-nodes when I realized the value disparity between them and the end points. "",""Q2"":""Once I found the 48 (or, if there was no 48, the last end point) I stopped clicking. "",""Q3"":""At the bottom left and then I moved counter clockwise (mostly)"",""Q4"":""That's pretty much it. ""}",94851,564739,,,
95,"{""Q0"":""I learned this game system and about not worrying about the mid points if the end values were worth it. "",""Q1"":""Everything was easy to understand."",""Q2"":""37"",""Q3"":""""}",43532,609277,0,8,
96,"{""Q0"":""I clicked in the final nodes until I found a 48"",""Q1"":""I didn't see any point in clicking the first nodes"",""Q2"":""When I found a 48"",""Q3"":""last nodes"",""Q4"":""not really""}",50159,608490,,,
96,"{""Q0"":""That it wasn't that worthwhile clicking any nodes but the last. On second thought I probably should have found the best route to 48 as it only cost 1 to click but I could gain a little more by avodiing negative nodes."",""Q1"":""How I could get $5"",""Q2"":""38"",""Q3"":""disappointed in my bonus, how are you supposed to be able to get $5""}",69774,679268,0,8,
97,"{""Q0"":""Random"",""Q1"":""I mainly just clicked on the last steps"",""Q2"":""When I saw a 48"",""Q3"":""Random"",""Q4"":""Nothing else to it""}",42833,863288,,,
97,"{""Q0"":""To just click on the last nodes"",""Q1"":""No"",""Q2"":""30"",""Q3"":""No""}",21720,886042,0,8,
98,"{""Q0"":""I clicked on the last nodes until I found a +24 or +48, because those were the highest values - the other nodes didn't really matter."",""Q1"":""The inner nodes are the smallest values - it doesn't matter what they are as long as I know that I will end up on a larger positive number at the end."",""Q2"":""I stopped once I found at least a +24 on an outer node."",""Q3"":""On any of the outer nodes - I frequently started on the right hand side."",""Q4"":""Nothing I can think of.""}",134060,727179,,,
98,"{""Q0"":""I don't know if I learned much beyond forming a strategy to play this game."",""Q1"":""No"",""Q2"":""33"",""Q3"":""None""}",39519,767722,0,5,
99,"{""Q0"":""I normally clicked the last stage buttons because I thought it was most important"",""Q1"":""I tended to not click on the first stage buttons because they were less and the end number was all that matter to me"",""Q2"":""I stopped when I felt I had the information necessary to make a good choice"",""Q3"":""The end numbers like 24 and 48"",""Q4"":""Nothing else""}",75714,2193102,,,
99,"{""Q0"":""I didn't learn much, just a bit of reasoning"",""Q1"":""No"",""Q2"":""30"",""Q3"":""no""}",23165,2217273,1,5,
100,"{""Q0"":""Revealing the end goal value was the most important since the paths were pretty much the same getting there"",""Q1"":""I didn't want to waste clicks on checking to see since it would be a small value in the beginning"",""Q2"":""I only needed to know which path to take. If I found the $48 on the first click, I would just take that path instead of clicking more."",""Q3"":""Each end point "",""Q4"":""Tried to find the highest end point value and chose the path towards it. If all were pretty similar, I would go towards the most positive path.""}",180875,1189366,,,
100,"{""Q0"":""I'm not really sure what I learned."",""Q1"":""No"",""Q2"":""26"",""Q3"":""n/a""}",46395,1236771,-999,0,
101,"{""Q0"":""random"",""Q1"":""test"",""Q2"":""tired"",""Q3"":""left"",""Q4"":""none""}",29930,509435,,,
101,"{""Q0"":""no"",""Q1"":""no"",""Q2"":""39"",""Q3"":""cool beans""}",22077,532532,-999,0,
102,"{""Q0"":""I couldn't see the pattern so it became all random"",""Q1"":""All random"",""Q2"":""Couldn't "",""Q3"":""It was random each time"",""Q4"":""""}",57822,932325,,,
102,"{""Q0"":""That spiders and random nodes are frustrating"",""Q1"":""I feel like I missed a pattern that was developing through the training phase. "",""Q2"":""36"",""Q3"":""""}",43564,976896,0,8,
103,"{""Q0"":""from experience"",""Q1"":""from experience"",""Q2"":""after I knew all the values"",""Q3"":""last nodes"",""Q4"":""first clicked the last nodes and then the click on the way to the most value nodes""}",103844,1398209,,,
103,"{""Q0"":""Find the highest value and work your way there"",""Q1"":""No"",""Q2"":""37"",""Q3"":""Fun study!""}",58475,1457691,1,5,
104,"{""Q0"":""I usually followed the low money"",""Q1"":""Whatever was highest - "",""Q2"":""When I couldn't move again."",""Q3"":""The lowest number...usually to the left."",""Q4"":""Not really - I thought I had figured it out a bit, but apparently not!""}",76669,558755,,,
104,"{""Q0"":""Nothing is guaranteed. "",""Q1"":""It was only confusing in that I was trying to determine a pattern, and I was probably overthinking it. "",""Q2"":""41"",""Q3"":""""}",58984,618774,1,6,
105,"{""Q0"":""I tried to click on each different node per game."",""Q1"":""I chose not to click the same nodes that showed a loss of money."",""Q2"":""If the nodes showed the same amount in loss and win, I stopped clicking. If the first click was a positive gain, I stopped clicking."",""Q3"":""Yes."",""Q4"":""I tried not to click too many times unless there were only negative nodes appearing. ""}",151747,1383932,,,
105,"{""Q0"":""I think there was a real strategy to the game that I didn't quite captured."",""Q1"":""No."",""Q2"":""37"",""Q3"":""No more comments.""}",65347,1450285,-999,0,
106,"{""Q0"":""By using the node revealer, I could see what the optimal and most lucrative path would be"",""Q1"":""By process of elimination. If I use the node revealer on the end nodes first, I could click as few as possible. Saving money in turn"",""Q2"":""When I had all the information that I needed to get to the optimal end node"",""Q3"":""The end nodes"",""Q4"":""No, it has been fully described in the above answers""}",80918,576940,,,
106,"{""Q0"":""Nothing"",""Q1"":""No"",""Q2"":""24"",""Q3"":""no""}",18487,596438,-999,0,
107,"{""Q0"":""try to go with positive"",""Q1"":""avoided negative"",""Q2"":""No more clicks"",""Q3"":""positive value"",""Q4"":""I didnt realize i could stop at a positive amount. ""}",53620,572598,,,
107,"{""Q0"":""had fun"",""Q1"":""I didint know i could stop"",""Q2"":""33"",""Q3"":""fun""}",27620,601227,-999,0,
108,"{""Q0"":""I started by trying to find the largest values on the furthest steps, if the largest value matched, I would then check the value of step 2."",""Q1"":""I tried to avoid clicking step 1 unless absolutely necessary since it had the lowest return rate. "",""Q2"":""I stopped clicking when it was clear that one path would lead me to the highest reward."",""Q3"":""The most outer circles."",""Q4"":""I figured that I'd rather overclick than underclick because the cost of clicking would ultimately be less than what I would lose. ""}",119548,775524,,,
108,"{""Q0"":""To be cautious when making decisions with money."",""Q1"":""No"",""Q2"":""22"",""Q3"":""""}",39612,816154,1,5,
109,"{""Q0"":""I made random choices. Trying to determine patterns "",""Q1"":""I chose randomly. "",""Q2"":""It was random "",""Q3"":""1st node. I didn't realize I could click on more than one for a while into the game. "",""Q4"":""I tried to notice patterns, but going so quickly made that difficult to do. ""}",118816,993636,,,
109,"{""Q0"":""I'm pretty sure if given the chance, I would do much better. I should have clicked on more nodes. "",""Q1"":""No"",""Q2"":""43"",""Q3"":""""}",44869,1039514,0,4,
110,"{""Q0"":""I clicked on the outside last nodes to see which one had the highest number."",""Q1"":""Once I had found 48 I did not click anymore, otherwise I clicked all the outside nodes. "",""Q2"":""When I found the highest numbered node, which was 48 or 24."",""Q3"":""Bottom left then work around. "",""Q4"":""No""}",93097,681570,,,
110,"{""Q0"":""Try to get the highest score. "",""Q1"":""No "",""Q2"":""38"",""Q3"":""""}",26826,709413,1,6,
111,"{""Q0"":""The largest number depending on the final destination."",""Q1"":""If the number was in red"",""Q2"":"".When I got to the largest number"",""Q3"":""The final destination."",""Q4"":""I always went for the largest number.""}",66246,534538,,,
111,"{""Q0"":""I learned that sometimes it was better to stop when I was ahead instead of getting greedy."",""Q1"":""No"",""Q2"":""22"",""Q3"":""No.""}",60551,596104,1,2,
112,"{""Q0"":""Based on the value of the first nodes"",""Q1"":""When the first two nodes equaled a decrease twice"",""Q2"":""When a positive gain was determined"",""Q3"":""To the left"",""Q4"":""Look for either both positive values or a negative positive that canceled each other out""}",136592,1062272,,,
112,"{""Q0"":""That my strategy skills need pratice"",""Q1"":""No this was very straighforward"",""Q2"":""49"",""Q3"":""I had difficulty loading the experiment at first although I used Goggle Chrome""}",78858,1142137,1,5,
113,"{""Q0"":""looked for the 48 node"",""Q1"":""no point in clicking the closest node"",""Q2"":""as soon as the 48 was found"",""Q3"":""the last nodes"",""Q4"":""as soon as you find 48 stop clicking""}",41205,456950,,,
113,"{""Q0"":""nothing"",""Q1"":""no"",""Q2"":""25"",""Q3"":""I play games all the time""}",19577,477531,-999,0,
114,"{""Q0"":""I started clicking where the money values were the highest."",""Q1"":""I did not always click the first step."",""Q2"":""I stopped clicking on paths that could not branch into a net gain."",""Q3"":""The outer branches (the 3rd step)"",""Q4"":""I only clicked on the 2nd and 1st steps if there was a \""tie\"" in the 3rd branch for value, to make sure i would get the highest value along the way.""}",90547,642150,,,
114,"{""Q0"":""I learned how to play the Web of Cash game."",""Q1"":""No"",""Q2"":""27"",""Q3"":""n/a""}",21511,664670,0,8,
115,"{""Q0"":""I knew that the last step had the largest range of values."",""Q1"":""I knew the first two steps had a much smaller range/influence on the score."",""Q2"":""When I discovered a +48 as that is the largest. If I didn't discover a +48 after 4 clicks I would often just go for +24."",""Q3"":""Any of the final step nodes."",""Q4"":""Nope.""}",101658,743139,,,
115,"{""Q0"":""Nothing."",""Q1"":""No."",""Q2"":""22"",""Q3"":""""}",14345,758509,-999,0,
116,"{""Q0"":""I clicked at the end destinations most of the time."",""Q1"":""I usually did not click on steps right in front of me"",""Q2"":""When I had found a positive number like 24 or 48"",""Q3"":""Yes"",""Q4"":""I was just trying to find the 24 or 48 and move towards that direction""}",47024,969540,,,
116,"{""Q0"":""I learned how to think quickly, and how to manage cost reduction."",""Q1"":""No"",""Q2"":""26"",""Q3"":""No additional comments""}",41287,1011845,1,5,
117,"{""Q0"":""If it could be clicked, i clicked it"",""Q1"":""I never not clicked"",""Q2"":""After there was nothing left to click"",""Q3"":""I always clicked all three circles"",""Q4"":""I was guessing how to proceed the whole time""}",111606,938096,,,
117,"{""Q0"":""That I'm a terrible guesser"",""Q1"":""I couldn't figure out a strategy or pattern"",""Q2"":""27"",""Q3"":""none""}",40935,980041,1,6,
118,"{""Q0"":""I started by randomly choosing to click on one of the last steps first"",""Q1"":""if both of the last steps were negative values"",""Q2"":""I stopped clicking when it was obvious which route was best"",""Q3"":""the top left end step"",""Q4"":""I think I could have thought my strategy through more to click less""}",117755,987551,,,
118,"{""Q0"":""I learned that sometimes it is better to make an educated guess"",""Q1"":""nope"",""Q2"":""21"",""Q3"":""I really enjoyed this and hope there are more HITs like this in the future""}",55876,1044437,1,6,
119,"{""Q0"":""if a node was 48 or 24 i would on the ones leading to it"",""Q1"":""if a node was -24 or -48 i would avoid them"",""Q2"":""When I had not seen a node for 48"",""Q3"":""On the corners of each horizontal branch of nodes"",""Q4"":""Find the 48 and then go to it""}",111134,720553,,,
119,"{""Q0"":""How to be strategic to maximize the value I would recieve"",""Q1"":""no"",""Q2"":""32"",""Q3"":""""}",38060,759623,1,5,
120,"{""Q0"":""I clicked on the end nodes of the web to see which had the highest value. If two end nodes had the same value, I would click on one, or all, of the nodes in between each to see which would earn me the most amount."",""Q1"":""For nodes at the dead end of parts of the web that had a negative value, I would not click on those because it would lower the value I earn if the spider went there. If I clicked on a node with the highest value visible, I wouldn't click on the nodes in between because chances are high that this is this the most beneficial route for the spider."",""Q2"":""I decided to stop clicking when a dead end node of the spider web showed the highest value. If the highest value was repeated, I would click on the nodes in between to see which route earned the most. "",""Q3"":""I was most likely to click on the top nodes at the ends of the web and then the bottom nodes at the ends of that part of the web. "",""Q4"":""My strategy was to typically click on the end nodes of the web to find the highest value, but if the highest value was repeated, I would click on one or all of the nodes in between each of these values and calculate which was the most beneficial route for the spider to take that would earn me the most. ""}",534456,1471149,,,
120,"{""Q0"":""I learned more about how to strategize a plan and way the benefits of certain choices in this experiment."",""Q1"":""There wasn't anything confusing or hard to understand."",""Q2"":""20"",""Q3"":""Interesting experiment.""}",85208,1557378,1,5,
121,"{""Q0"":""I tended to click well away from where I had just clicked. So if I clicked top right and got an unfavorable value, I clicked bottom left."",""Q1"":""I decided that it was only worth clicking on the end nodes. There might have been a way to make more by going to a $24 rather than a $48 endpoint sometimes, but the amount of clicking needed to discover the paths would decrease the reward enough to make it not worth it."",""Q2"":""When I found a $48 endpoint."",""Q3"":""Top right, I think. Or top left."",""Q4"":""not really""}",131004,668764,,,
121,"{""Q0"":""Bit of strategy, I guess."",""Q1"":""During the training, it took me a few rounds to understand why it was saying I \""should\"" have gone a different way. At first I didn't realize there were endpoints higher than $24, so I would find one of those and get told I should have gone another way, and that was confusing."",""Q2"":""45"",""Q3"":""""}",104981,774753,1,5,
122,"{""Q0"":""Guess"",""Q1"":""Based on previous click being positive or negative."",""Q2"":""When finding the positive $48."",""Q3"":""Chose not to click on the same spot that I just completed in the round before"",""Q4"":""Decided to only guess once.  Otherwise spent money until I found the +$48""}",255779,1042654,,,
122,"{""Q0"":""Not to move by simply guessing.  Spent the $1 for the guess to determine where to go."",""Q1"":""No"",""Q2"":""22"",""Q3"":""Interesting study.""}",85990,1129653,0,1,
123,"{""Q0"":""I started from within, clicking on the three nodes surrounding the spider. I then clicked on one of the outer nodes of each one to see which nodes contain the positive or the most outcome."",""Q1"":""I decided not to click on the nodes that have the highest negative value on the outer nodes."",""Q2"":""I stopped clicking when I found a node that has a high enough value."",""Q3"":""I mostly clicked on the inner nodes, specifically the nodes surrounding the spider."",""Q4"":""I clicked on as much nodes as possible to help me get the most value, even though it cost to reveal the value.""}",388887,938848,,,
123,"{""Q0"":""Look at other outcomes when thinking about a decision you are making to see which is best."",""Q1"":""The game itself was a bit confusing at first, but eventually I figured out what to do."",""Q2"":""24"",""Q3"":""""}",103254,1043110,1,3,
124,"{""Q0"":""Last node only, as the values are large enough that the first two don't really matter"",""Q1"":""I didn't click on the first two nodes because their values were small enough to be irrelevant."",""Q2"":""When I had found a +48 node."",""Q3"":""A randomly chosen end node."",""Q4"":""""}",50597,500002,,,
124,"{""Q0"":""I learned to ignore the first two nodes in search of a greater reward."",""Q1"":"""",""Q2"":""21"",""Q3"":""""}",25732,526747,0,1,
125,"{""Q0"":""By evaluating the end result of each path. And on occasion looking at the path to get there. "",""Q1"":""By evaluating the end result of each path. "",""Q2"":""When I had reached the maximum possible value."",""Q3"":""On all of the possible end results. "",""Q4"":""No, thank you!""}",63002,617568,,,
